user_id,profile_link
arabriel,https://steamcommunity.com/id/arabriel/
76561198945295751,https://steamcommunity.com/profiles/76561198945295751/
76561199691109313,https://steamcommunity.com/profiles/76561199691109313/
76561199242077546,https://steamcommunity.com/profiles/76561199242077546/
76561199430464619,https://steamcommunity.com/profiles/76561199430464619/
76561199794855077,https://steamcommunity.com/profiles/76561199794855077/
HIMEKsus,https://steamcommunity.com/id/HIMEKsus/
76561199640328208,https://steamcommunity.com/profiles/76561199640328208/
76561198001273807,https://steamcommunity.com/profiles/76561198001273807/
76561199652480770,https://steamcommunity.com/profiles/76561199652480770/
76561199784639794,https://steamcommunity.com/profiles/76561199784639794/
76561199789952121,https://steamcommunity.com/profiles/76561199789952121/
76561199769086184,https://steamcommunity.com/profiles/76561199769086184/
76561199148230104,https://steamcommunity.com/profiles/76561199148230104/
76561199361069976,https://steamcommunity.com/profiles/76561199361069976/
76561198408536601,https://steamcommunity.com/profiles/76561198408536601/
76561199046596492,https://steamcommunity.com/profiles/76561199046596492/
76561198276129905,https://steamcommunity.com/profiles/76561198276129905/
76561199073298322,https://steamcommunity.com/profiles/76561199073298322/
76561199433342944,https://steamcommunity.com/profiles/76561199433342944/
76561199617773111,https://steamcommunity.com/profiles/76561199617773111/
76561198955319311,https://steamcommunity.com/profiles/76561198955319311/
ab3ws3we,https://steamcommunity.com/id/ab3ws3we/
76561199765348526,https://steamcommunity.com/profiles/76561199765348526/
76561199269601567,https://steamcommunity.com/profiles/76561199269601567/
76561199642999972,https://steamcommunity.com/profiles/76561199642999972/
76561199784955497,https://steamcommunity.com/profiles/76561199784955497/
76561199005119066,https://steamcommunity.com/profiles/76561199005119066/
76561198835570835,https://steamcommunity.com/profiles/76561198835570835/
76561198821834052,https://steamcommunity.com/profiles/76561198821834052/
sirpatch-csgo,https://steamcommunity.com/id/sirpatch-csgo/
76561198415983836,https://steamcommunity.com/profiles/76561198415983836/
76561199486616910,https://steamcommunity.com/profiles/76561199486616910/
76561199397262377,https://steamcommunity.com/profiles/76561199397262377/
76561199480206902,https://steamcommunity.com/profiles/76561199480206902/
76561199525442382,https://steamcommunity.com/profiles/76561199525442382/
ogTesthelper,https://steamcommunity.com/id/ogTesthelper/
76561199036468139,https://steamcommunity.com/profiles/76561199036468139/
76561199496756502,https://steamcommunity.com/profiles/76561199496756502/
76561199006958281,https://steamcommunity.com/profiles/76561199006958281/
845764789569,https://steamcommunity.com/id/845764789569/
76561199771881402,https://steamcommunity.com/profiles/76561199771881402/
